// <nbr_dates> <null>
// <date> <nbr_marques>
// <marque> <nbr_vaccins>
25
2022-05-08 12
Barakat 700
CIGB 1500
CanSino 1200
Vektor 1100
ReiThera 1700
BioNTech 1700
Pasteur 1700
CureVac 100
Medicago 1900
Pfeizer 500
Sanofi 1900
BARDA 400
2021-10-27 3
ReiThera 1500
CIGB 1000
Janssen 900
2021-01-21 10
Pasteur 1200
Sinopharm 600
BioNTech 1800
Cadila 1800
Sanofi 100
Vektor 700
Novavax 600
CureVac 1400
Gamaleya 1300
CanSino 700
2021-10-13 1
Barakat 1800
2022-01-14 2
Medicago 900
Pfeizer 600
2021-03-30 2
Sinopharm 800
AnGes 500
2021-04-07 11
Pfeizer 1400
Nanogen 1900
BioNTech 400
Finlay 1700
Medicago 1900
Pasteur 800
AstraZeneca 1400
Vektor 1400
Barakat 300
CIGB 100
Bharat 1500
2020-11-25 12
Nanogen 700
Sanofi 1200
Moderna 1200
Barakat 800
Sinopharm 100
Novavax 1000
Gamaleya 1900
CIGB 900
Sinovac 300
Bharat 600
CureVac 400
Pasteur 1000
2022-09-25 7
CanSino 300
Sanofi 1100
Nanogen 1400
BioNTech 1900
ReiThera 500
Finlay 100
Minhai 1500
2022-02-22 16
Bharat 700
ReiThera 600
Barakat 1000
Codagenix 600
RAS 1600
Razi 1100
CanSino 1000
Gamaleya 1800
Sanofi 800
Pfeizer 1600
Cadila 1400
Sinopharm 1300
CureVac 1600
Valneva 400
Moderna 1800
Pasteur 900
2022-07-22 7
Sanofi 700
Barakat 400
Minhai 1500
CIGB 1300
Pfeizer 200
Janssen 1800
Vektor 500
2020-04-22 6
Moderna 400
Cadila 200
Pasteur 1000
ReiThera 1600
Finlay 300
BARDA 1200
2021-06-30 20
Novavax 400
CanSino 1500
Sinopharm 1500
Janssen 400
QazVac 1300
Pfeizer 1900
Sinovac 200
Sanofi 600
Bharat 1400
Barakat 1700
Finlay 1700
Codagenix 600
Gamaleya 1000
AnGes 900
Moderna 1800
Pasteur 800
RAS 700
Razi 400
ReiThera 100
CureVac 100
2022-01-25 6
Janssen 300
QazVac 800
BARDA 1300
Minhai 700
Cadila 600
Sinopharm 700
2021-07-20 2
CanSino 1500
Valneva 400
2021-04-07 6
Vektor 400
ReiThera 1700
Moderna 1200
Bharat 700
Barakat 1100
AstraZeneca 1700
2021-03-30 12
Minhai 900
AnGes 100
Sinovac 1400
BioNTech 600
Vektor 100
AstraZeneca 1200
CanSino 1400
Pfeizer 1800
Janssen 600
Valneva 300
Razi 1400
Nanogen 1800
2021-10-20 18
ReiThera 1200
Barakat 1100
QazVac 1500
AstraZeneca 500
Bharat 1100
Nanogen 1100
Pasteur 1600
Vektor 1600
Cadila 900
Pfeizer 1900
RAS 1100
CIGB 900
Sanofi 1800
Sinopharm 1900
Valneva 1700
CanSino 1500
Novavax 1100
Moderna 1900
2020-12-28 2
CureVac 1300
Medicago 1100
2020-03-22 12
CIGB 600
Cadila 1700
QazVac 900
Finlay 100
Valneva 700
Gamaleya 300
Novavax 1300
Razi 100
Codagenix 1800
Sinopharm 200
Pasteur 400
BARDA 1300
2022-09-05 17
Vektor 1400
Sinopharm 1900
Sinovac 400
Pasteur 1700
ReiThera 700
QazVac 1600
Razi 1100
Moderna 600
Finlay 200
Janssen 1600
BARDA 1600
RAS 1800
Bharat 1900
Sanofi 1400
Pfeizer 1900
BioNTech 1000
Barakat 1700
2022-08-26 17
Barakat 300
Pfeizer 1600
Nanogen 500
Novavax 600
AnGes 1500
ReiThera 1000
Janssen 600
Pasteur 600
Gamaleya 100
RAS 800
Medicago 1700
Sanofi 900
AstraZeneca 100
BioNTech 1400
Minhai 1200
Valneva 1800
CureVac 1200
2022-01-28 9
AstraZeneca 800
Cadila 500
Janssen 1400
RAS 1400
Sanofi 1000
CanSino 1200
Finlay 1300
Nanogen 1900
Razi 300
2022-01-04 5
Codagenix 600
Razi 1900
ReiThera 400
CureVac 700
CIGB 400
2020-12-25 14
Valneva 1300
Vektor 600
Novavax 300
BioNTech 700
CanSino 1100
Razi 900
CureVac 1000
BARDA 400
Codagenix 900
ReiThera 700
Janssen 1200
Pfeizer 1100
Barakat 700
Sanofi 1800
